id;point_id;site;date;lon;lat;TD_cm;;;;
92;RP064-5;2;2018-07-31;21.57464478;69.02131517;35;;;;
93;RP064-6;2;2018-07-31;21.57492937;69.02118264;33;;;;
94;RP064-8;2;2018-07-31;21.57475691;69.02109304;35;;;;
95;RP018-1;2;2018-07-31;21.57525951;69.02130812;36;;;;
96;RP018-2;2;2018-07-31;21.57548684;69.02138131;40;;;;
97;RP018-3;2;2018-07-31;21.57539554;69.02119984;32;;;;
98;RP018-4;2;2018-07-31;21.57566052;69.02130991;40;;;;
99;RP018-5;2;2018-07-31;21.57601174;69.02131861;41;;;;
100;RP018-6;2;2018-07-31;21.57579077;69.02119513;40;;;;
101;RP018-7;2;2018-07-31;21.57616913;69.02117561;45;;;;
102;RP018-8;2;2018-07-31;21.57644335;69.02119539;50;;;;
103;RP009-3;2;2018-07-31;21.581139;69.020758;40;;;;
104;RP009-4;2;2018-07-31;21.58065;69.020884;44;;;;
105;RP009-5;2;2018-07-31;21.580774;69.020768;39;;;;
106;RP006-2;2;2018-07-31;21.579361;69.020729;32;;;;
107;RP064-1;2;2018-07-31;21.57439687;69.02087223;41;;;;
108;RP064-2;2;2018-07-31;21.57447089;69.02095463;35;;;;
109;RP064-3;2;2018-07-31;21.57440936;69.02105832;40;;;;
110;RP064-7;2;2018-07-31;21.5750921;69.02109621;38;;;;
111;RP063-1;2;2018-07-31;21.574715;69.02080415;40;;;;
112;RP063-2;2;2018-07-31;21.57481956;69.02089926;41;;;;
113;RP063-3;2;2018-07-31;21.57511732;69.02087826;40;;;;
114;RP063-4;2;2018-07-31;21.57545899;69.02083417;37;;;;
115;RP063-5;2;2018-07-31;21.57572632;69.02085592;40;;;;
116;RP063-6;2;2018-07-31;21.57589181;69.02077341;43;;;;
117;RP063-7;2;2018-07-31;21.57621947;69.02082619;37;;;;
118;RP063-8;2;2018-07-31;21.57583866;69.02092278;38;;;;
119;REKH-1;2;2018-07-31;21.57550053;69.02068949;38;;;;
120;REKH-2;2;2018-07-31;21.57553365;69.02067639;37;;;;
121;RP019-1;2;2018-07-31;21.57548214;69.02109474;34;;;;
122;RP019-2;2;2018-07-31;21.57564611;69.02106794;34;;;;
123;RP019-3;2;2018-07-31;21.57569072;69.02111142;33;;;;
124;RP018-9;2;2018-07-31;21.57632411;69.02106342;41;;;;
125;RP018-10;2;2018-07-31;21.57627851;69.02096155;38;;;;
126;RP018-11;2;2018-07-31;21.57605793;69.02104479;39;;;;
127;RP048-1;2;2018-07-31;21.57691513;69.02105273;37;;;;
128;RP048-2;2;2018-07-31;21.5770496;69.0209523;45;;;;
129;RP048-3;2;2018-07-31;21.57681506;69.02088773;42;;;;
130;RP048-4;2;2018-07-31;21.5768496;69.0207801;41;;;;
131;RP048-5;2;2018-07-31;21.57657062;69.02066462;40;;;;
132;RP048-6;2;2018-07-31;21.57620087;69.02064165;46;;;;
133;RP049-1;2;2018-07-31;21.57698959;69.0205941;29;;;;
134;RP049-2;2;2018-07-31;21.57695428;69.02064053;32;;;;
135;RP046-1;2;2018-07-31;21.57746526;69.02074169;37;;;;
136;RP046-2;2;2018-07-31;21.57776282;69.02074681;39;;;;
137;RP046-3;2;2018-07-31;21.57823059;69.02075728;35;;;;
138;RP046-4;2;2018-07-31;21.57781748;69.02069158;85;;;;
139;RP046-5;2;2018-07-31;21.57772489;69.02062293;40;;;;
140;RP052-3;2;2018-07-31;21.581492;69.020163;40;;;;
141;RP011-1;2;2018-07-31;21.583573;69.020474;35;;;;
142;RP011-2;2;2018-07-31;21.583392;69.020573;34;;;;
143;RP011-3;2;2018-07-31;21.583723;69.020636;36;;;;
144;RP011-4;2;2018-07-31;21.584002;69.020639;37;;;;
145;RP011-5;2;2018-07-31;21.584003;69.020548;31;;;;
146;RP009-1;2;2018-07-31;21.581084;69.020555;47;;;;
147;RP009-2;2;2018-07-31;21.581118;69.020653;40;;;;
148;RP009-6;2;2018-07-31;21.580808;69.020629;39;;;;
149;RP009-7;2;2018-07-31;21.580797;69.020492;38;;;;
150;RP010-1;2;2018-07-31;21.58068;69.02035;48;;;;
151;RP010-2;2;2018-07-31;21.580681;69.020268;40;;;;
152;RP010-3;2;2018-07-31;21.580959;69.020346;42;;;;
153;RP010-4;2;2018-07-31;21.580937;69.02019;41;;;;
154;RP051-6;2;2018-07-31;21.578655;69.02004;42;;;;
155;RP051-7;2;2018-07-31;21.579111;69.020107;35;;;;
156;RP051-8;2;2018-07-31;21.578792;69.020189;40;;;;
157;RP051-9;2;2018-07-31;21.578381;69.02022;37;;;;
158;RP051-10;2;2018-07-31;21.57806;69.020234;38;;;;
159;RP050-1;2;2018-07-31;21.579351;69.020284;37;;;;
160;RP050-2;2;2018-07-31;21.579241;69.020376;40;;;;
161;RP050-3;2;2018-07-31;21.57917;69.020461;40;;;;
162;RP005-1;2;2018-07-31;21.578938;69.020593;37;;;;
163;RP005-2;2;2018-07-31;21.578779;69.020602;30;;;;
164;RP003-1;2;2018-07-31;21.575739;69.020024;41;;;;
165;RP003-2;2;2018-07-31;21.57566;69.020051;32;;;;
166;RP004-1;2;2018-07-31;21.57668;69.020019;36;;;;
167;RP004-3;2;2018-07-31;21.576522;69.020206;34;;;;
168;REKF-1;2;2018-07-31;21.57480986;69.02003008;38;;;;
169;REKF-2;2;2018-07-31;21.57473089;69.02003739;42;;;;
170;REKG-1;2;2018-07-31;21.57501884;69.02007328;38;;;;
171;REKG-2;2;2018-07-31;21.57496956;69.02007462;45;;;;
172;RP001-1;2;2018-07-31;21.57483903;69.02019128;37;;;;
173;RP001-2;2;2018-07-31;21.57462887;69.02021227;30;;;;
174;RP001-3;2;2018-07-31;21.57480439;69.02025413;38;;;;
175;RP002-1;2;2018-07-31;21.57504153;69.02037203;35;;;;
